name,site_name,most_popular_mainset,most_popular_offset,most_popular_slot2,most_popular_slot4,most_popular_slot6,stats_priority,main_sets,offset_sets,slot2s,slot4s,slot6s,HP_value,ATK_value,DEF_value,SPD_value,CR_value,CD_value,ACC_value,RES_value,error,top_2_sub_stats,top_3_sub_stats,top_4_sub_stats
Aaliyah,Aaliyah,VIOLENT,WILL,SPD,HP,HP,SPD > RES > HP > DEF > ACC > CR > ATK > CD,VIOLENT > SWIFT > WILL > BLADE,WILL > ENDURE > NEMESIS > Unknown > REVENGE > TOLERANCE,SPD > HP > DEF,HP > DEF,HP > DEF > RES,2.24,1.25,1.82,3.51,1.32,1.0,1.44,3.3,,SPD > RES,SPD > RES > HP,SPD > RES > HP > DEF
Abellio,Abellio,VIOLENT,WILL,SPD,HP,DEF,SPD > HP > CR > DEF > ACC > RES > ATK > CD,VIOLENT > SWIFT > NEMESIS > GUARD > WILL,WILL > NEMESIS > REVENGE > Unknown > DESTROY > ENDURE > GUARD > BLADE > SHIELD,SPD > HP > DEF,HP > CD > DEF > CR,DEF > HP,2.54,1.22,1.79,3.24,2.13,1.0,1.68,1.56,,SPD > HP,SPD > HP > CR,SPD > HP > CR > DEF
Abigail,Abigail,VIOLENT,WILL,SPD,CD,HP,SPD > ACC > CR > HP > ATK > DEF > RES > CD,VIOLENT > SWIFT > DESPAIR,WILL > REVENGE > Unknown > BLADE > DESTROY > SHIELD > GUARD,SPD > ATK,CD > HP > CR > ATK > DEF,HP > ATK > ACC > DEF,1.75,1.55,1.24,3.53,1.79,1.0,2.76,1.16,,SPD > ACC,SPD > ACC > CR,SPD > ACC > CR > HP
Acasis,Acasis,SWIFT,SHIELD,SPD,HP,HP,SPD > ACC > RES > HP > ATK > DEF > CR > CD,SWIFT > DESPAIR > VIOLENT > ENDURE > WILL > FOCUS > GUARD > NEMESIS > SHIELD,SHIELD > Unknown > ENERGY > WILL > ENDURE > GUARD > FOCUS > NEMESIS > BLADE > ENHANCE,SPD > HP,HP > CD > CR,HP > DEF,1.62,1.57,1.34,3.68,1.31,1.0,2.14,1.74,,SPD > ACC,SPD > ACC > RES,SPD > ACC > RES > HP
Adrian,Adrian,VIOLENT,REVENGE,SPD,CD,ATK,CR > ACC > SPD > RES > HP > ATK > CD > DEF,VIOLENT > SHIELD > SWIFT > ENDURE > REVENGE > BLADE > ENHANCE > GUARD,REVENGE > GUARD > BLADE > FIGHT > SHIELD > Unknown > DESTROY > ENDURE > ENERGY > ENHANCE > FOCUS,SPD > ATK > DEF,CD > CR > ATK > HP,ATK > HP > ACC > DEF,1.22,1.15,1.0,2.04,2.69,1.04,2.2,1.36,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > RES
Adriana / Water Vanilla Cookie,Adriana / Water Vanilla Cookie,SWIFT,Unknown,SPD,HP,HP,SPD > ACC > HP > DEF > CR > ATK > CD > RES,SWIFT > VIOLENT > BLADE > FOCUS > WILL,Unknown > WILL > SHIELD > FIGHT > ACCURACY > BLADE > FOCUS > NEMESIS > REVENGE,SPD > HP,HP > DEF > CD > ATK > CR > X,HP > ACC > X > DEF > RES > ATK,2.33,1.28,1.63,5.0,1.37,1.01,2.61,1.0,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Aegir,Aegir,VIOLENT,WILL,SPD,CD,HP,SPD > CR > HP > ACC > ATK > DEF > RES > CD,VIOLENT > SWIFT,WILL > Unknown > BLADE > NEMESIS > FOCUS > DESTROY > SHIELD,SPD > HP,CD > CR > ATK > X,HP > ATK > ACC,1.84,1.55,1.35,4.07,3.11,1.0,1.83,1.07,,SPD > CR,SPD > CR > HP,SPD > CR > HP > ACC
Aeilene,Aeilene,VIOLENT,BLADE,SPD,CD,ATK,CR > SPD > ACC > HP > CD > RES > DEF > ATK,VIOLENT > SWIFT > FATAL > RAGE > BLADE > ENDURE > GUARD > REVENGE > SHIELD > VAMPIRE,BLADE > REVENGE > Unknown > WILL > ENERGY > FIGHT > FOCUS > GUARD > SHIELD,SPD > ATK > HP,CD > HP > ATK > DEF,ATK > HP > DEF > Unknown,1.25,1.0,1.05,2.34,2.64,1.23,2.04,1.19,,CR > SPD,CR > SPD > ACC,CR > SPD > ACC > HP
Ahman,Ahman,VIOLENT,ENERGY,SPD,CR,HP,CR > SPD > HP > ACC > RES > DEF > ATK > CD,VIOLENT > SWIFT > ENERGY > GUARD > SHIELD > DESPAIR > DESTROY > NEMESIS > RAGE > REVENGE,ENERGY > DESTROY > ENDURE > NEMESIS > BLADE > Unknown > WILL > REVENGE > GUARD > TOLERANCE,SPD > HP > ATK,CR > CD > HP,HP > ATK > DEF,2.1,1.1,1.18,2.69,3.06,1.0,1.5,1.22,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ACC
Ahmed / Light Bayek,Ahmed / Light Bayek,SWIFT,Unknown,SPD,HP,HP,ACC > SPD > HP > CR > RES > ATK > DEF > CD,SWIFT > VIOLENT > VAMPIRE > WILL > DESTROY > ENERGY > GUARD > UNKNOWN,Unknown > WILL > DESTROY > ENERGY > NEMESIS > GUARD > REVENGE,SPD > HP > CD > ATK,HP > CR > CD > DEF,HP > Unknown > ACC > ATK > DEF,2.22,1.39,1.32,2.42,1.87,1.0,2.42,1.75,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > CR
